rank_priority,protocol_slug,protocol_name,defillama_url,category,chains,value_at_risk_usd,band_status,family_id,PRIORITY,LIKELIHOOD,ACTIONABILITY,family_evidence,learned_attack_surface,MATCH_SCORE,EVIDENCE_CONFIDENCE,evidence_level,repeat_victim_count,prior_hack_dates,surface_signals,conditions,preconditions_present,guards_found,prior_art_status,in_final
1,fuji-v1,Fuji V1,https://defillama.com/protocol/fuji-v1,Lending,Ethereum|Arbitrum|Polygon|Fantom|Optimism,197607.06,IN_BAND,UPGRADE-INITIALIZER-REACHABLE-LIVE,65.62,65.62,100.0,37.5,28.12,75.0,90.4,L4_GUARD_REVIEW,0,,owner_is_contract|is_proxy|has_2plus_audits|multichain_gt3|owner_is_eoa|on_ethereum|chain_hazard_ge2|version_sibling_legacy|pricing_surface_undeclared,VERSION_SIBLING_LEGACY,src::initialize_without_modifier|upgradeable_architecture|initializer_flag_unset|live_value_or_approvals,upgrade_timelocked,PRIOR_ART_SEARCH_INCOMPLETE,YES
2,hundred-finance,Hundred Finance,https://defillama.com/protocol/hundred-finance,Lending,Arbitrum|Fantom|Polygon|xDai|Harmony|Optimism,73585.16,IN_BAND,AUTH-ZERO-ADDRESS-ACCEPTED,61.18,61.18,100.0,31.9,29.28,63.8,85.4,L4_GUARD_REVIEW,2,2022-03-15|2023-04-15,has_governance|owner_is_contract|is_proxy|has_oracle_declared|multichain_gt3|on_ethereum|chain_hazard_ge2|single_audit_only,,src::owner_compare_without_nonzero|live_value_present|deployment_reachable_on_chain,,UNREMEDIATED_KNOWN_ISSUE,YES
3,sperax-usd,Sperax USD,https://defillama.com/protocol/sperax-usd,Yield Aggregator,Arbitrum|Ethereum,520188.67,IN_BAND,ACC-SIGN-OR-BOUND-CHECK-MISSING,61.08,61.08,100.0,36.9,24.18,73.8,90.4,L4_GUARD_REVIEW,0,2023-02-04,owner_is_contract|is_proxy|has_oracle_declared|has_2plus_audits|on_ethereum|chain_hazard_ge2|authority_addrs_beyond_tvl,,src::unsafe_cross_sign_cast|live_value_present|deployment_reachable_on_chain,,KNOWN_ISSUE_DEPLOYMENT_STATUS_UNKNOWN,YES
4,cook-finance,Cook Finance,https://defillama.com/protocol/cook-finance,Indexes,Heco|Ethereum|Binance|Avalanche,51766.57,IN_BAND,UPGRADE-INITIALIZER-REACHABLE-LIVE,60.13,60.13,100.0,37.5,22.63,75.0,90.4,L4_GUARD_REVIEW,0,,is_proxy|multichain_gt3|owner_is_eoa|on_ethereum|chain_hazard_ge2|on_bsc|authority_addrs_beyond_tvl|single_audit_only,,src::initialize_without_modifier|upgradeable_architecture|initializer_flag_unset|live_value_or_approvals,upgrade_timelocked,PRIOR_ART_SEARCH_INCOMPLETE,YES
5,fuji-v1,Fuji V1,https://defillama.com/protocol/fuji-v1,Lending,Ethereum|Arbitrum|Polygon|Fantom|Optimism,197607.06,IN_BAND,AUTH-ZERO-ADDRESS-ACCEPTED,60.02,60.02,100.0,31.9,28.12,63.8,85.4,L4_GUARD_REVIEW,0,,owner_is_contract|is_proxy|has_2plus_audits|multichain_gt3|owner_is_eoa|on_ethereum|chain_hazard_ge2|version_sibling_legacy|pricing_surface_undeclared,,src::owner_compare_without_nonzero|live_value_present|deployment_reachable_on_chain,,PRIOR_ART_SEARCH_INCOMPLETE,NO
6,fuji-v1,Fuji V1,https://defillama.com/protocol/fuji-v1,Lending,Ethereum|Arbitrum|Polygon|Fantom|Optimism,197607.06,IN_BAND,ACC-DUPLICATE-ID-ACCUMULATION,60.02,60.02,100.0,31.9,28.12,63.8,85.4,L4_GUARD_REVIEW,0,,owner_is_contract|is_proxy|has_2plus_audits|multichain_gt3|owner_is_eoa|on_ethereum|chain_hazard_ge2|version_sibling_legacy|pricing_surface_undeclared,,src::id_array_loop_without_dedup|live_value_present|deployment_reachable_on_chain,,PRIOR_ART_SEARCH_INCOMPLETE,NO
7,radiant-v2,Radiant V2,https://defillama.com/protocol/radiant-v2,Lending,Ethereum|Base|Arbitrum|Binance,693777.81,IN_BAND,ACC-SIGN-OR-BOUND-CHECK-MISSING,59.7,59.7,100.0,36.9,22.8,73.8,90.4,L4_GUARD_REVIEW,2,2024-01-02,is_proxy|has_oracle_declared|multichain_gt3|on_ethereum|chain_hazard_ge2|on_bsc|authority_addrs_beyond_tvl|single_audit_only,,src::unsafe_cross_sign_cast|live_value_present|deployment_reachable_on_chain,,UNREMEDIATED_KNOWN_ISSUE,YES
8,radiant-v2,Radiant V2,https://defillama.com/protocol/radiant-v2,Lending,Ethereum|Base|Arbitrum|Binance,693777.81,IN_BAND,AUTH-PUBLIC-CLAIM-NO-ELIGIBILITY,59.7,59.7,100.0,36.9,22.8,73.8,85.4,L4_GUARD_REVIEW,2,2024-01-02,is_proxy|has_oracle_declared|multichain_gt3|on_ethereum|chain_hazard_ge2|on_bsc|authority_addrs_beyond_tvl|single_audit_only,,src::claim_without_eligibility_map|live_value_present|deployment_reachable_on_chain,,UNREMEDIATED_KNOWN_ISSUE,NO
9,radiant-v2,Radiant V2,https://defillama.com/protocol/radiant-v2,Lending,Ethereum|Base|Arbitrum|Binance,693777.81,IN_BAND,SIG-VERIFIER-DEFEATABLE,59.7,59.7,100.0,36.9,22.8,73.8,90.4,L4_GUARD_REVIEW,2,2024-01-02,is_proxy|has_oracle_declared|multichain_gt3|on_ethereum|chain_hazard_ge2|on_bsc|authority_addrs_beyond_tvl|single_audit_only,,src::ecrecover_without_zero_check|live_value_present|deployment_reachable_on_chain,,UNREMEDIATED_KNOWN_ISSUE,NO
10,revest-finance,Revest Finance,https://defillama.com/protocol/revest-finance,NFT Lending,Ethereum|Avalanche|Arbitrum|Polygon|Optimism|Fantom,107916.24,IN_BAND,AUTH-PUBLIC-CLAIM-NO-ELIGIBILITY,59.45,59.45,100.0,36.9,22.55,73.8,85.4,L4_GUARD_REVIEW,0,2022-03-27,owner_is_contract|has_oracle_declared|multichain_gt3|on_ethereum|chain_hazard_ge2|authority_addrs_beyond_tvl|single_audit_only,,src::claim_without_eligibility_map|live_value_present|deployment_reachable_on_chain,,KNOWN_ISSUE_DEPLOYMENT_STATUS_UNKNOWN,YES
11,iron-bank,Iron Bank,https://defillama.com/protocol/iron-bank,Lending,Ethereum|Optimism|Avalanche|Fantom,216657.44,IN_BAND,UPGRADE-INITIALIZER-REACHABLE-LIVE,59.18,59.18,100.0,30.0,29.18,60,90.4,L4_GUARD_REVIEW,0,,has_governance|is_proxy|has_oracle_declared|unverified_implementation|multichain_gt3|owner_is_eoa|on_ethereum|chain_hazard_ge2|single_audit_only,,src::initialize_without_modifier|upgradeable_architecture|initializer_flag_unset|live_value_or_approvals,upgrade_timelocked,PRIOR_ART_SEARCH_INCOMPLETE,YES
12,iron-bank,Iron Bank,https://defillama.com/protocol/iron-bank,Lending,Ethereum|Optimism|Avalanche|Fantom,216657.44,IN_BAND,ACC-DONATION-UNACCOUNTED-BALANCE,59.18,59.18,100.0,30.0,29.18,60,90.4,L4_GUARD_REVIEW,0,,has_governance|is_proxy|has_oracle_declared|unverified_implementation|multichain_gt3|owner_is_eoa|on_ethereum|chain_hazard_ge2|single_audit_only,,src::getCashPrior_balanceOf|unprivileged_inbound_transfer_possible|live_value_exposed,,KNOWN_ISSUE_DEPLOYMENT_STATUS_UNKNOWN,NO
